@relation 'RelationName-weka.filters.unsupervised.attribute.NumericToNominal-R386-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute PC17 numeric
@attribute PC18 numeric
@attribute PC19 numeric
@attribute PC20 numeric
@attribute PC21 numeric
@attribute PC22 numeric
@attribute PC23 numeric
@attribute PC24 numeric
@attribute PC25 numeric
@attribute PC26 numeric
@attribute PC27 numeric
@attribute PC28 numeric
@attribute PC29 numeric
@attribute PC30 numeric
@attribute PC31 numeric
@attribute PC32 numeric
@attribute PC33 numeric
@attribute PC34 numeric
@attribute PC35 numeric
@attribute PC36 numeric
@attribute PC37 numeric
@attribute PC38 numeric
@attribute PC39 numeric
@attribute PC40 numeric
@attribute PC41 numeric
@attribute PC42 numeric
@attribute PC43 numeric
@attribute PC44 numeric
@attribute PC45 numeric
@attribute PC46 numeric
@attribute PC47 numeric
@attribute PC48 numeric
@attribute PC49 numeric
@attribute class {0,1,2,3,4,5}

@data
-5.531201,9.9592,-4.046733,0.091594,1.71278,0.138762,2.647635,1.866853,10.643066,0.555431,-0.096096,0.458065,0.016339,0.82545,-2.4249,0.558413,2.183176,-2.832486,-0.586783,1.518089,-1.27283,-1.23372,-0.957475,1.182399,-0.887127,0.684341,0.816689,-0.814193,2.164209,-0.502009,-0.804856,0.100555,-0.371337,0.978978,-0.19158,-0.767437,-0.124603,0.420279,-0.272468,0.234404,0.998021,0.609521,-0.06225,0.640873,0.781783,0.444644,0.223928,0.089769,0.685551,0
7.594984,-3.224475,4.657591,-5.249834,-9.879859,1.720045,-4.820466,0.187155,3.744926,1.207222,1.952368,-0.730746,1.541037,1.631965,0.090231,0.046777,-0.493312,2.522086,-0.088355,-0.243901,-0.448434,-0.072834,-0.245174,-1.192944,-0.145109,-0.833539,-0.425972,0.229723,0.054048,0.108897,1.779177,0.05033,-1.384995,0.494821,-0.843786,-1.439247,0.248891,-0.955132,-0.106357,-0.319372,0.31478,-0.987717,1.115584,-0.49902,-0.302703,0.103577,-0.11453,0.026076,-0.051896,5
-1.924868,4.220822,-1.686421,-5.576509,-2.826212,-3.397936,7.240202,1.474312,3.897799,-10.689379,0.511478,1.59628,-2.649201,0.605824,-1.443446,-5.903523,0.424652,5.019534,-2.233152,-3.768703,0.898031,-2.095079,-1.429035,0.356395,0.032731,0.163565,0.307622,-1.47935,2.042444,-0.499016,2.594257,1.803787,-1.458385,-1.181576,2.043665,0.456811,-0.942817,-0.475921,0.373095,-0.684319,0.020191,-2.195966,-2.19172,1.604444,0.280738,0.400441,-0.682842,1.038963,0.828188,5
7.234398,-3.423555,4.717163,-4.772456,-9.955403,1.955543,-4.682264,0.010495,3.162645,0.545987,2.130813,0.1831,1.039246,0.544513,-0.119018,1.210024,-0.64968,1.678805,0.679501,-0.358237,-0.520855,-0.389934,-0.096196,-1.173639,-0.114336,-1.252627,0.037861,0.269884,0.411449,0.193775,0.519703,0.376679,-1.030127,0.470846,-1.140096,-1.18741,0.587716,-0.832599,0.272832,-0.276379,-0.195147,-0.515361,0.060189,-0.240606,-0.318273,0.48896,-0.126013,-0.088144,0.353565,5
9.036601,-1.593406,-5.866581,11.59127,-1.878727,1.399693,1.426847,-1.543309,-0.515188,-1.126354,-0.259415,1.205338,3.650685,-0.750786,-0.858226,1.178626,0.535756,1.433219,0.261326,-0.475762,-3.162971,3.780508,-1.445597,0.439482,1.754741,-0.694997,0.531887,-1.086433,0.23214,-0.382381,0.329077,-0.519606,-0.431077,-0.216296,-0.276322,0.372589,0.711172,0.107393,-0.44469,-0.244441,-0.050226,0.305454,0.016969,-0.150136,0.095015,-0.221559,-0.396483,0.280324,0.029123,5
-1.798166,6.404638,-0.929728,-4.007751,-1.658214,-1.346434,6.513104,-1.586661,-0.952455,-6.344253,0.384726,1.384646,0.80476,-0.028084,0.063447,-3.597362,0.277294,2.60031,-3.170439,-0.55611,1.857109,0.332148,-1.622215,-1.452536,-0.333976,-0.780239,-1.086867,0.098796,-0.94467,-1.180549,-0.258172,-0.796972,0.652525,2.2597,-2.727785,0.485523,-1.164691,1.358729,-1.430213,0.98223,0.043977,3.83346,2.369664,-2.789,-0.763816,-0.071786,0.17784,-0.538152,-0.876912,5
6.696032,-2.315947,4.087037,-4.31685,-9.279943,2.679453,-2.784869,-0.778255,2.146907,-0.102263,3.683944,1.609146,0.420308,0.214813,-0.825886,0.522117,-0.840933,-0.34966,0.97146,-1.076345,-0.537158,0.217207,-0.707803,-2.091397,-2.484952,-0.513509,1.714684,-0.334982,-0.138198,0.631526,-0.574607,0.363674,2.05315,0.610951,0.580866,0.118941,0.892167,0.54095,0.752404,0.73243,-0.640044,1.122328,-1.660083,0.294069,-0.241968,0.031349,0.053542,-0.381519,1.383359,5
7.729631,-3.962637,2.685421,-4.84661,-9.386723,1.110598,-6.884502,0.715969,3.155678,2.361261,-0.841185,-0.147508,1.809056,0.832421,0.174577,0.629686,1.009557,1.807984,-0.807461,1.088898,1.977328,-0.57783,0.34555,2.101969,3.855833,1.399967,-0.903276,2.132788,-0.152712,0.477395,1.031899,-0.650188,-1.131997,-0.43972,0.466724,-0.89304,0.113241,0.065399,-0.856219,0.270794,2.385946,-1.431738,-0.289089,-0.517607,-1.812179,-0.373828,-0.25094,0.592054,-0.454626,5
7.410979,-3.545912,4.843156,-4.918977,-9.85336,1.788634,-4.851423,0.094772,3.346667,0.852849,1.787936,-0.303683,1.248434,0.929523,-0.230236,0.776582,-0.636401,2.383585,0.203035,-0.264064,-0.344237,-0.289,-0.156289,-0.952531,0.185498,-0.921131,-0.51562,0.408766,0.171675,0.226463,0.927653,0.021771,-1.57997,0.390106,-1.150876,-1.451954,0.258068,-1.221445,-0.049714,-0.400293,0.122124,-0.746739,0.398668,-0.327163,-0.437251,0.455701,-0.332816,-0.386962,0.295311,5
-8.406573,-7.76268,2.715286,1.516895,-1.182054,-2.812931,-0.977352,0.324255,-1.503317,0.154555,-4.834954,-4.117919,2.574607,-0.801191,-5.289561,-4.250751,-4.201151,-1.723219,3.293009,1.490025,0.160937,0.289997,-5.116907,-2.914328,-1.031097,1.898971,-0.720295,1.053984,0.323513,1.525976,-0.027097,0.562125,0.394149,0.67232,0.822774,-0.166676,0.34827,0.166728,-0.028217,0.196622,0.717654,0.101979,0.022853,0.222461,0.175693,0.498148,-0.812515,0.105068,-0.067634,3
