@relation 'RelationName-weka.filters.unsupervised.attribute.NumericToNominal-R386_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute PC17 numeric
@attribute PC18 numeric
@attribute PC19 numeric
@attribute PC20 numeric
@attribute PC21 numeric
@attribute PC22 numeric
@attribute PC23 numeric
@attribute PC24 numeric
@attribute PC25 numeric
@attribute PC26 numeric
@attribute PC27 numeric
@attribute PC28 numeric
@attribute PC29 numeric
@attribute PC30 numeric
@attribute PC31 numeric
@attribute PC32 numeric
@attribute PC33 numeric
@attribute PC34 numeric
@attribute PC35 numeric
@attribute PC36 numeric
@attribute PC37 numeric
@attribute PC38 numeric
@attribute PC39 numeric
@attribute PC40 numeric
@attribute PC41 numeric
@attribute PC42 numeric
@attribute PC43 numeric
@attribute PC44 numeric
@attribute PC45 numeric
@attribute PC46 numeric
@attribute PC47 numeric
@attribute PC48 numeric
@attribute PC49 numeric
@attribute PC50 numeric
@attribute class {0,1,2,3,4,5}

@data
-6.783754,10.721674,-2.93392,2.845939,2.293214,0.435757,-1.240569,-0.918078,-3.978606,0.955375,1.486904,0.723956,-1.356727,4.504386,-0.682647,1.993004,-1.593238,1.921786,1.360866,1.139092,3.03296,0.74138,-0.387079,-1.113848,3.050713,4.409572,1.669654,-1.454645,5.738115,0.731938,0.248527,-1.34251,1.490435,0.128102,-0.463181,0.079202,-1.187496,1.507711,-0.394565,0.538297,0.40676,-1.390075,0.119593,-0.884567,-0.319642,1.313237,0.951029,1.031788,0.15498,-0.264719,0
3.443474,-5.636214,-15.999001,-6.475308,2.4019,1.140514,1.784632,0.193357,0.254454,3.327398,-7.170262,5.549683,-0.336899,-1.033428,-1.243934,0.653658,2.070508,0.284248,1.159841,-0.102647,-1.121499,1.964298,1.469003,-0.835443,-0.114273,0.107278,0.355267,0.252822,0.172141,-0.781109,0.60087,-0.093461,1.245417,1.134902,-0.692321,-0.495231,-0.294375,0.333391,1.298686,-0.496077,0.495187,-0.87868,-0.030512,-1.786729,1.944563,-1.635875,-1.584309,-0.790362,-1.044509,-0.71005,0
-6.288517,10.496241,-4.015678,0.769395,2.069873,0.335891,1.273604,-3.647417,-10.991107,-0.50422,-0.00222,-0.236112,0.554488,-1.856854,-1.614616,-1.127535,1.645904,-2.366133,0.357409,0.394507,-1.939228,-0.652877,0.073818,0.615684,-1.390028,-0.324033,-0.495012,0.448932,-1.439252,0.248663,-0.849026,0.698912,0.253211,-0.879976,0.456048,0.990834,-0.08828,-0.024558,-0.343947,0.033262,1.133981,-0.76904,-0.503559,-0.284004,0.396404,0.988895,-0.292506,0.25672,0.603585,0.052601,0
-8.268455,13.953467,-1.41635,3.35479,0.91534,-0.789854,-6.139022,-0.439514,0.392529,1.720439,1.570192,1.842369,-1.324502,4.587752,2.351975,0.948789,-2.539249,2.780472,-2.264193,2.398359,5.178277,4.774266,2.264769,1.128131,-1.191366,-2.308327,-1.292314,0.311491,-1.252297,2.428059,-0.365586,0.063179,-0.656004,0.334392,1.541486,-0.730358,-0.31289,-1.175253,0.131772,0.115027,0.517754,-0.036642,0.488354,0.804987,1.215916,0.417293,-0.254972,0.613621,-0.279171,-0.429973,0
-6.548911,11.150219,-4.059512,1.607346,2.528167,0.390062,1.010746,-2.979521,-11.436825,-0.327474,1.457215,-0.413174,0.369413,0.241171,-1.471487,-2.252919,-0.890789,-2.029751,-0.713614,1.658991,-1.527101,-0.442253,0.85104,-0.330143,0.89422,-0.111082,0.896073,-0.21915,0.694591,0.186542,0.432531,-0.713116,-0.373144,2.191777,0.056303,-0.405093,1.575191,-1.425598,-0.440188,0.036484,-0.915284,1.003457,0.403358,0.860328,0.232571,-1.451646,-0.573074,-0.587361,-0.509799,0.353906,0
-7.956107,13.569531,-1.437528,2.529647,0.947424,-0.778857,-4.966141,-0.610912,-0.365032,1.249582,1.835555,1.776525,-1.701741,4.652157,2.711924,1.644796,-2.681218,2.79559,-2.211709,2.926787,4.763386,5.159542,2.150166,1.177192,-1.662573,-2.636856,-1.440072,0.162076,-1.698211,2.459701,-0.287594,0.412075,-0.731182,0.419798,0.858798,-1.088696,-0.634939,-1.03172,0.546571,-0.398683,0.640764,0.73078,0.332272,0.783541,1.03123,0.411832,-0.323753,0.869413,-0.343603,-0.826501,0
-6.348816,10.911225,-4.186552,1.103184,2.417487,0.245581,0.912085,-3.60336,-11.524637,-0.119274,0.997748,-0.627398,0.423531,-0.50655,-1.226148,-2.129378,-0.265035,-2.5764,-0.304275,1.158501,-2.001363,-0.327456,0.640831,0.463384,-0.321094,-0.622165,0.290957,0.001756,-0.306214,-0.108701,-0.25587,0.278172,-0.488779,0.827988,0.069691,-0.111131,0.953574,-0.976494,-0.801709,0.107918,-0.4439,0.264465,0.150689,0.943666,0.372494,-0.85603,-0.094928,-0.141147,-0.310671,0.368209,0
-7.884562,14.097606,-1.36229,2.280976,1.149785,-1.015287,-5.556336,-0.125393,0.592121,1.260845,0.670398,1.488172,-1.665693,3.33576,2.289017,1.071547,-2.515886,2.795068,-2.848119,1.604446,4.631724,4.695496,1.706301,0.746258,-2.106461,-3.593195,-1.675971,0.102929,-2.405173,2.622816,0.175608,0.019324,-1.18721,0.028265,0.738316,-0.396281,-0.761068,-0.830921,0.285915,0.229159,-0.226879,0.630172,0.029477,0.841663,0.392121,-0.021386,-0.166269,0.356061,0.035933,0.251916,0
-8.137343,13.928655,-1.41415,3.216554,1.027913,-0.845064,-5.868497,-0.124514,0.294555,1.686352,1.40041,1.791198,-1.407608,4.511896,2.57262,0.86247,-2.676697,2.922971,-2.587593,2.437886,5.264334,4.75582,2.162698,1.063737,-1.485229,-2.610495,-1.38133,0.283004,-1.619429,2.31452,-0.168004,0.106707,-0.935673,0.113063,1.603307,-0.87134,-0.439607,-1.200891,0.395318,-0.039548,0.521855,0.124441,0.45797,0.954773,1.120749,0.530647,-0.189153,0.698446,-0.302279,-0.377759,0
-6.412852,11.138871,-4.228796,1.338476,2.609856,0.275882,0.865099,-3.053361,-11.633831,-0.460805,1.530667,-0.628833,0.531838,0.095768,-1.337143,-2.32546,-0.795816,-2.199653,-0.830076,1.474865,-1.683569,-0.378507,0.859009,-0.261095,0.739711,-0.384061,1.07381,0.053951,0.612006,-0.233923,0.211943,-0.54656,-0.602512,1.918,0.074005,-0.523631,1.576005,-1.271307,-0.534065,-0.074849,-0.798909,0.730381,0.882908,1.077442,0.298103,-1.450476,-0.422634,-0.435332,-0.660182,0.089978,0
